name,price,item_id,category,description
Nike Air Jordan 1 MID SE (GS) CW5550-001 Camo Light Bone/Black Boys Shoes Sz. 6Y,$99.00,23622034542,Boys' Shoes,"['Brand:Nike', 'US Shoe Size:6', 'Style:Air Jordan 1 MID SE (GS) CW5550-001', 'Department:Boys', 'Color:Camo (GS) Light Bone/Black', 'Type:Athletic', 'UK Shoe Size:5.5', 'Model:Air Jordan 1 MID SE (GS) CW5550-001', 'Closure:Lace Up', 'Shoe Width:Standard', 'EU Shoe Size:38.5']"
Nike Air Max 90 LTR SE (GS) DX1814 100 Sail/Multi-Color Sz 6Y Kid's Shoes 6415,$99.99,23622034545,Unisex Kids' Shoes,"['Brand:Nike', 'Color:Sail/Multi-Color-Gridiron', 'Style:Air Max 90 LTR SE (GS) DX1814 100', 'Department:Unisex Kids', 'Type:Athletic', 'US Shoe Size:6', 'UK Shoe Size:5.5', 'Model:Air Max 90 LTR SE (GS) DX1814 100', 'Closure:Lace Up', 'Performance/Activity:Basketball', 'EU Shoe Size:38.5']"
Louis Vuitton Damier Ebene Speedy 30 Handbag - 2012,$1049.99,24915029887,Women's Bags & Handbags,"['Brand:Louis Vuitton', 'Exterior Material:Damier Ebene coated canvas', 'Style:Handbag', 'Exterior Color:Brown', 'Department:Women', 'Features:Gold color hardware', 'Lining Color:Red', 'Product Line:Speedy 30', 'Accents:Leather', 'Pattern:Damier Ebene', 'Size:Medium', 'Closure:Zipper', 'Vintage:No', 'Handle/Strap Material:Leather', 'Model:Speedy 30']"
Coach 54007 Accordion Zip Wallet,$49.99,25425031729,Women's Bags & Handbags,"['Brand:Coach', 'Exterior Material:Leather', 'Style:Wallet', 'Exterior Color:Red', 'Department:Women']"
Harley-Davidson Motorcycles 85054 Women's Size 7 USA Melia 10'' Leather Boots,$59.99,24322043379,Women's Shoes,[]
Coach C5966 Slim Trifold Wallet,$99.99,25451001427,Women's Bags & Handbags,"['Brand:Coach', 'Exterior Material:Canvas / Leather', 'Style:Slim Trifold Wallet', 'Exterior Color:Khaki Saddle', 'Department:Women']"
Louis Vuitton Clifton Damier Ebene Handbag Tote Coated Canvas Checkerboard,$1099.99,24915029828,Women's Bags & Handbags,[]
Louis Vuitton Neverfull PM Damier Ebene Purse,$1399.99,24915029735,Women's Bags & Handbags,"['Brand:Louis Vuitton', 'Exterior Material:Damier Ebene Canvas', 'Style:Tote Bag', 'Exterior Color:Damie Ebene', 'Department:Women', 'Size:See Description', 'Model:Damier Ebene PM']"
Gucci Micro Guccissima Nice Tote Bag,$599.99,24915029812,Women's Bags & Handbags,"['Brand:Gucci', 'Exterior Material:Leather', 'Style:Tote Bag', 'Exterior Color:White Light Gray', 'Department:Women', 'Model:Micro Guccissima']"
Louis Vuitton Luco Monogram Tote Bag,$899.99,24915029805,Women's Bags & Handbags,"['Brand:Louis Vuitton', 'Exterior Material:Leather', 'Style:Tote Bag', 'Exterior Color:Brown', 'Department:Women', 'Model:Luco']"
Versace VE 4160B Red Sunglasses - Women's Frames - Black Case,$59.99,24122031055,Sunglasses,"['Brand:Versace', 'Type:Sunglasses', 'Department:Womens', 'Frame Color:Red', 'Frame Material:Plastic', 'MPN:4160B', 'Model:4160B']"
